term,definition,image_filename,photographer
1A+2A,"an unbranched vein thought to have resulted from the fusion of anal veins 1A and 2A into a single vein. It is the most posterior vein on the forewing in many moths and is located near the posterior margin. This is the common state in the superfamily Noctuoidea.",Veins_jpg.jpg,
Abdomen,"the third and posterior-most tagma (body region) of an insect. The ancestral abdomen is believed to have consisted of 11 segments, though most modern insects have fewer.",body_regions_jpeg.jpg,
Aedeagus,"the male copulatory organ. Characteristics of the aedeagus are often used to separate and identify species. The aedeagus is not visible without dissection.",,
Anal angle,"the posterolateral corner of the wing, where the posterior and outer margins meet.",wing_regions_jpeg.jpg,
Anal dash,"a typically short and broad line at the anal angle",dashes_jpeg.jpg,
Anal vein,"a longitudinal, unbranched vein that extends from the base of the insect wing to the outer margin. the most posterior of the longitudinal veins of a wing.",Veins_jpg.jpg,
Anellus,"a sclerotized supporting structure that surrounds the base of the aedeagus. The anellus is modified in a few moth species and can be useful for identification (see Lacinipolia pensilis and L. vicina).",,
Antemedial area,"the portion of the wing that is located between the basal and antemedial lines.",wing_lines_jpeg.jpg,
Antemedial line,"a thin transverse line found on the basal third of the forewing, between the median and basal lines. This line is located medial to the orbicular and claviform spots when these are present. In the Noctuoidea this line is often double, with the darkest and thickest component bordering the median area, and zigzag in shape.",wing_lines_jpeg.jpg,
Anterior,"the ""head"" end of an organism, as opposed to the posterior or ""tail"" end of an organism.",,
Apical,"refers to a part of a structure at the furthest distance from the base.",,
Apical dash,"a typically short and broad line in the apical area of the wing.",dashes_jpeg.jpg,
Appendix bursae,"a part of the internal female genitalia. The portion of the corpus bursae that is not connected to the ductus bursae in species in which the bursa copulatrix is bilobed.",,
Basal,"the point of an appendage closest to its attachment to the body. Sometimes referred to as proximal.",,
Basal area,"the portion of the wing that is located medial to the basal line.",wing_lines_jpeg.jpg,
Basal dash,"a typically short and broad line at the mid-basal area of the forewing.",dashes_jpeg.jpg,
Basal line,"a transverse line extending across the forewing near its base. The most basal of the forewing transverse lines. This line is usually present on the anterior half of the wing, and is darker than the surrounding wing in most moths.",wing_lines_jpeg.jpg,
Beaded,"resembling a string of beads. Usually referring to an antenna. The mid-portion of each segment of a beaded antenna is slightly expanded.",,
Bipectinate,"a structure with comb-like or teeth-like structures on both sides. Usually referring to an antenna. Each segment of a bipectinate antenna has elongate distal processes.",,
Biserrate,"sawlike or toothed on both sides of a structure. Usually referring to an antenna. Each segment of a biserrate antenna is triangular in shape.",,
Bivoltine,"refers to a species that has two generations per year.",,
Brood,"the immatures that hatch from eggs laid by a single female at the same time.",,
Bursa copulatrix,"a membranous pouch of the female genital system that receives the intromittent organ (aedeagus) of the male during copulation. It is usually divided into a posterior sclerotized tube (the posterior ductus bursae) and an anterior membranous sac (the corpus bursae). The bursa copulatrix is useful for identification purposes but is not visible without dissection",,
Cell,"a portion of a wing that is surrounded by veins. For example, discal cells are large cells found on both wings of many moths, including all of the species that are included on this site.",,
Ciliate,"fringed with a row of close-fitted setae or hairs.",,
Clasper,"A movable sclerotized structure located on the medial surface of the male valve, usually near its mid-point. The shape of the clasper can be useful for identification.",,
Claviform spot,"an elongate spot or mark extending laterally from the antemedial line through the median area, toward and sometimes reaching the postmedial line. This spot is usually darker than the surrounding wing, often black.",spots_jpeg.jpg,
Cocoon,"a covering of silk or silk incorporated with other materials such as pieces of leaves and twigs that covers the pupa.",,
Collar,"'neck,' a structure between the head and the thorax. In the Noctuoidea this term refers to the arched array of scales of the paired patagia, which are hardened, articulated flaps on the dorsal prothorax. The collar is often in a contrasting color from the head and remaining thorax and is frequently striped with dark transverse lines.",body_regions_collar.jpg,
Cornutus,"a slender, heavily sclerotized spine or spines on the surface of the vesica of the male aedeagus. These structures are useful for identification, but are not visible without dissection.",,
Corona,"a row of mesially-directed claw-like sclerotized setae located on the cucullus of the male valve. Used for grasping the female during mating.",,
Corpus bursae,"the membranous pouch of the female genital system. A spermatophore is deposited into the corpus bursae by the male during mating. The corpus bursae attaches to the anterior end of the ductus bursae and can be single (unisaccate) or be divided (bisaccate). The ductus seminales attaches to the corpus bursae. The shape of the corpus bursae is often useful for identification, but is not visible without dissection.",,
Cosmopolitan,"refers to a species that is found throughout all or most of the world, in the appropriate habitat.",,
Costa,"the anterior margin of the forewing, sometimes thickened or ridge-like.",wing_regions_jpeg.jpg,
Costal margin,"the anterior margin of the wing.",wing_regions_jpeg.jpg,
Crepuscular,"with activity periods at dusk and/or dawn. Many frequently-seen moths, such as the White-lined Sphinx Moth (Hyles lineata), are crepuscular.",,
CuA1,"Anterior cubitus vein 1. Generally arising from the distal cubitus vein and extending to the margin. This vein arises near the posterior end of the discal cell in most members of the Noctuoidea.",Veins_jpg.jpg,
CuA2,"Anterior cubitus vein 2. Generally arising approximately midway on the wing cubitus vein and extending to the outer margin.",Veins_jpg.jpg,
Cubital vein,"also called the cubitus. A wing vein arising approximately at the middle of the base of the wing and extending (branched or unbranched) to the wing margin. This vein forms the posterior boundary of the discal cell in the Noctuoidea.",Veins_jpg.jpg,
Cucullus,"the terminal part of the valve in male genitalia. This structure is often broadened and may bear one or more rows of claw-like setae forming a structure called a corona.",,
Digitus,"a sclerotized, usually elongate, structure located on the distal third of the valve of the male genitalia of some moths. The presence of a digitus and its shape are useful for identification.",,
Discal spot,"a broad contrastingly-colored spot found at the end of the discal cell in some moths. The forewing discal spot is usually referred to as the reniform spot in noctuid moths.",discal_spot_HW_jpeg.jpg,
Dissection,"the process of removing certain internal organs-usually the male and female genitalia-from an insect specimen, in order to examine their structure.",,
Distal,"the point of an appendage furthest from its attachment to the body.",,
Diurnal,"active during daylight. Unlike butterflies, which are diurnal, most moths are active at night and referred to as nocturnal. A few moth species are strictly diurnal and have adaptations to daytime flight, such as brightly-colored hindwings and reduced eye-size (ellipsoid eyes).",,
Dorsal,"refers to the back or the upper side of an organism. For example, a dorsal view would be looking at the animal from above.",,
Dorsum,"the back or upper side of an organism.",,
Ductus bursae,"the duct in the female genital system that extends from the ostium bursa to the bursa copulatrix. This structure is commonly sclerotized. The ductus bursae cannot be observed without dissection.",,
Ellipsoid,"oblong, oval, with equally rounded ends. Commonly refers to reduced eye-size in day-flying moths. The eyes appear small and oval when viewed from the front, rather than large and hemispherical as in most night-flying species. In most of these day-flying species, the sum of the width of the eyes is less than the width of the frons between them.",,
Elliptical,"oblong, oval, with equally rounded ends.",,
Excurved,"convex, with the apex of the curve directed toward the outer margin. Usually refers to the shape of a wing marking.",,
Falcate,"bent or curved, sickle-shaped. This adjective is commonly applied to the apex of the forewing.",,
Fasciculate,"bundled, especially a bundle of setae that arise from a common source.",,
Femur,"the third segment of the insect leg. Often a large and elongate segment, sometimes with some ornamentation or identifying structures.",,
Filiform,"hair-like or threadlike, usually referring to an antenna.",,
Flange,"a projecting ridge or collar that provides support. A flange is present on the tips of the ovipositor lobes (papillae anales) of some female moths, likely as an adaptation for laying eggs in hard soil.",,
Fold,"a term traditionally used for a longitudinal part of the posterior forewing of moths in the superfamily Noctuoidea that is bordered anteriorly by the cubital vein and its branch CuA2 and posteriorly by 1A+2A. This area lacks supporting veins and is therefore relatively weak. It is sometimes colored differently than the surrounding areas (usually paler) and contains the claviform spot and/or median dash when these markings are present.",,
Forewing,"the front wing of an insect. The wing attached to the second thoracic segment (the mesothorax). Characteristics of the forewing are often important in identification.",body_regions_jpeg.jpg,
Fringe,"the scales, setae, or hairs that extend beyond the edge of a wing membrane.",wing_regions_jpeg.jpg,
Frons,"the area of the face that is dorsal to (above) the antennae.",,
Frontal tubercle,"a raised, sclerotized structure arising from the frons of many moth species. This structure is thought to be used to escape from underground after hatching from the pupa, and is most commonly found in species that live in arid environments. The frontal tubercle has been lost secondarily in some species that pupate in sand.",,
Genitalia,"the sexual organs, including associated structures. Characters of the genitalia are often used for identification purposes. Some structures of the genitalia are visible in intact specimens, but most characters require dissection for visualization.",,
Hair pencils,"long, paired, brush-like pheromone-emitting organs located at the base of the ventral abdomen in males of some moth species.",,
Harpe,"a rod-shaped sclerotized structure on the mesial valve of the male genitalia of some moths, arising from the dorsal distal sacculus. The shape of the harpe-especially in relation to the saccular extension- is useful for identification in the genus Euxoa.",,
Hindwing,"one of the second pair of wings that is attached to the third segment of the thorax (the metathorax).",body_regions_jpeg.jpg,
Holarctic,"the zoogeographic region that includes most of the northern hemisphere - Africa north of the Sahara desert, North America including the northern two-thirds of Mexico, all of Europe, and Asia south to the Himalayan Mountains. The Holarctic is divided into the Nearctic and Palearctic.",,
Larva,"(plural: larvae). The immature stage between the egg and the pupa. In moths, usually referred to as a caterpillar.",,
